1126222tt1123649ttuhrtt2016-04-04 10:10:47tt2016-04-07tt2016-04-13ttLONttLondonttUnited KingdomttGBttEuropettLJUttLjubljanattSloveniattSIttEuropett940.23ttHRKtt2820.68ttreturntt6tt\N
1126221tt1123648ttuhrtt2016-04-04 10:10:20tt2016-08-13tt2016-08-20ttLONttLondonttUnited KingdomttGBttEuropettLAXttLos AngelesttUnited StatesttUSttNorth Americatt8592.00ttHRKtt8592.00ttreturntt7tt\N
1126220tt1123647ttuhrtt2016-04-04 10:10:12tt2016-09-15tt2016-09-18ttZAGttZagrebttCroatiattHRttEuropettDBVttDubrovnikttCroatiattHRttEuropett725.00ttHRKtt1450.00ttreturntt3tt\N
1126219tt1123646ttuhrtt2016-04-04 10:09:44tt2016-04-11tt2016-04-14ttTRSttTriestettItalyttITttEuropettVGOttVigottSpainttESttEuropett2971.00ttHRKtt2971.00ttreturntt3tt\N
1126218tt1123645ttuhrtt2016-04-04 10:09:38tt2016-04-15tt2016-04-17ttZAGttZagrebttCroatiattHRttEuropettSTRttStuttgartttGermanyttDEttEuropett1062.44ttHRKtt1062.44ttreturntt2tt\N
1126217tt1123644ttuhrtt2016-04-04 10:09:32tt2016-04-20tt2016-04-21ttZAGttZagrebttCroatiattHRttEuropettPRGttPraguettCzech RepublicttCZttEuropett2431.00ttHRKtt2431.00ttreturntt1tt\N
1126216tt1123643ttuhrtt2016-04-04 10:09:24tt2016-05-18tt2016-05-23ttDBVttDubrovnikttCroatiattHRttEuropettZAGttZagrebttCroatiattHRttEuropett727.50ttHRKtt727.50ttreturntt5tt\N
1126215tt1123642ttusitt2016-04-04 10:09:23tt2016-04-11tt2016-04-12ttGRZttGrazttAustriattATttEuropettSKPttSkopjettMacedoniattMKttEuropett916.49ttEURtt13747.35ttreturntt1tt\N
1126214tt1123641ttuhrtt2016-04-04 10:09:01tt2016-08-13tt2016-08-20ttLONttLondonttUnited KingdomttGBttEuropettBOBttBora BorattFrench PolynesiattPFttAustralia and Oceaniatt59122.00ttHRKtt59122.00ttreturntt7tt\N
1126213tt1123640ttuhrtt2016-04-04 10:08:52tt2016-04-08tt1970-01-01ttZAGttZagrebttCroatiattHRttEuropettHAMttHamburgttGermanyttDEttEuropett1097.00ttHRKtt1097.00ttonewaytt0tt\N
1126212tt1123639ttuhrtt2016-04-04 10:08:03tt2016-04-11tt2016-04-14ttZAGttZagrebttCroatiattHRttEuropettVGOttVigottSpainttESttEuropett4417.00ttHRKtt4417.00ttreturntt3tt\N
1126211tt1123638ttuhrtt2016-04-04 10:07:53tt2016-09-23tt2016-09-25ttZAGttZagrebttCroatiattHRttEuropettPARttParisttFrancettFRttEuropett1364.00ttHRKtt1364.00ttreturntt2tt\N
1126210tt1123637ttuhrtt2016-04-04 10:07:52tt2016-05-28tt2016-05-29ttZAGttZagrebttCroatiattHRttEuropettNCEttNicettFrancettFRttEuropett1894.00ttHRKtt1894.00ttreturntt1tt\N
1126209tt1123636ttusitt2016-04-04 10:07:47tt2016-04-11tt2016-04-12ttZAGttZagrebttCroatiattHRttEuropettSKPttSkopjettMacedoniattMKttEuropett184.62ttEURtt2769.30ttreturntt1tt\N
